测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(ms),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比,RS编码耗时(ms),RS解码耗时(ms),SHA256哈希耗时(ms),哈希验证耗时(ms),编解码总耗时(ms),吞吐量(MB/s)
"测试1: 小文件广播(1KB) [n=7,t=2]",1024,7,2,3,1183,1032312,1033922,1032312,1008.1171,40684,39.7304,34.0546,0.011,.033,0.001,.001,.044,.0007
"测试2: 中等文件广播(100KB) [n=7,t=2]",102400,7,2,3,1148,4427142,4428682,4427142,43.2338,4061932,39.6673,34.0005,0.522,.302,0.137,.043,.824,.0850
"测试3: 大文件广播(1MB) [n=7,t=2]",1048576,7,2,3,1559,36679296,36681466,36679296,34.9801,41593580,39.6667,34.0000,4.139,5.047,0.441,.485,9.186,.6414
"测试4: 文本文件广播 [n=7,t=2]",383893,7,2,3,1124,14076918,14078598,14076918,36.6688,15227821,39.6668,34.0001,1.096,1.228,0.162,.177,2.324,.3257
"测试5: 单节点故障容错(1MB) [n=7,t=2]",1048576,7,2,3,1119,26535486,26557424,26535486,25.3062,41593580,39.6667,34.0000,3.754,3.886,0.442,.448,7.640,.8936
"测试6: 2节点故障容错(100KB) [n=7,t=2,极限]",102400,7,2,3,999,1899016,1902932,1899016,18.5450,4061932,39.6673,34.0005,0.296,.838,0.045,.102,1.134,.0976
"测试7: 超大文件分块广播(20MB) [n=7,t=2]",20971520,7,2,3,1708,715237696,715239166,715237696,34.1051,831870326,39.6666,33.9999,120.508,86.048,10.124,9.048,206.556,11.7096
"测试8: 超大文件分块广播(50MB) [n=7,t=2]",52428800,7,2,3,3625,1786466126,1786467806,1786466126,34.0741,2079675766,39.6666,33.9999,244.413,238.528,24.517,23.489,482.941,13.7931
"测试9: 恶意节点-篡改分片(100KB) [n=7,t=2]",102400,7,2,3,1147,4442916,4444526,4442916,43.3878,4061932,39.6673,34.0005,0.383,.320,0.044,.044,.703,.0850
"测试10: 恶意节点-伪造哈希(100KB) [n=7,t=2]",102400,7,2,3,1225,4489854,4491394,4489854,43.8462,4061932,39.6673,34.0005,0.297,.325,0.044,.047,.622,.0796
"测试11: 恶意节点-选择性沉默(100KB) [n=7,t=2]",102400,7,2,3,1901,4014299,4016049,4014299,39.2021,4061932,39.6673,34.0005,0.641,.261,0.107,.047,.902,.0513
"测试12: 2个混合恶意节点(100KB) [n=7,t=2,BFT极限]",102400,7,2,3,1095,4409124,4410664,4409124,43.0578,4061932,39.6673,34.0005,1.245,.340,0.133,.055,1.585,.0891
"测试13: 2个混合恶意节点(50MB) [n=7,t=2,BFT极限]",52428800,7,2,3,3518,1786459434,1786460974,1786459434,34.0740,2079675766,39.6666,33.9999,218.397,202.138,25.637,22.784,420.535,14.2126
