测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(s),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比
"测试1: 小文件广播(1KB) [n=4,t=1]",1024,4,1,2,65,224247,225227,224247,218.9912,20480,20.0000,15.0000
"测试2: 中等文件广播(100KB) [n=4,t=1]",102400,4,1,2,65,1742379,1743359,1742379,17.0154,2048000,20.0000,15.0000
"测试3: 大文件广播(1MB) [n=4,t=1]",1048576,4,1,2,65,15982605,15983585,15982605,15.2421,20971520,20.0000,15.0000
"测试4: 文本文件广播 [n=4,t=1]",383893,4,1,2,65,6037100,6038010,6037100,15.7259,7677876,20.0000,15.0000
"测试5: 单节点故障容错(1MB) [n=4,t=1]",1048576,4,1,2,30,8450510,8452870,8450510,8.0590,20971520,20.0000,15.0000
"测试6: 1节点故障容错(100KB) [n=4,t=1,极限]",102400,4,1,2,30,859910,862462,859910,8.3975,2048000,20.0000,15.0000
"测试7: 超大文件分块广播(20MB) [n=4,t=1]",20971520,4,1,2,65,315260610,315261590,315260610,15.0327,419430400,20.0000,15.0000
"测试8: 超大文件分块广播(50MB) [n=4,t=1]",52428800,4,1,2,65,787771467,787772447,787771467,15.0255,1048576000,20.0000,15.0000
"测试9: 恶意节点-篡改分片(100KB) [n=4,t=1]",102400,4,1,2,65,1753467,1754517,1753467,17.1237,2048000,20.0000,15.0000
"测试10: 恶意节点-伪造哈希(100KB) [n=4,t=1]",102400,4,1,2,65,1752939,1753849,1752939,17.1185,2048000,20.0000,15.0000
"测试11: 恶意节点-选择性沉默(100KB) [n=4,t=1]",102400,4,1,2,65,1451259,1452239,1451259,14.1724,2048000,20.0000,15.0000
"测试12: 1个混合恶意节点(100KB) [n=4,t=1,BFT极限]",102400,4,1,2,65,1767921,1768831,1767921,17.2648,2048000,20.0000,15.0000
