测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(s),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比
"测试1: 小文件广播(1KB) [n=10,t=3]",1024,10,3,4,80,2554200,2556510,2554200,2494.3359,61440,60.0000,54.0000
"测试2: 中等文件广播(100KB) [n=10,t=3]",102400,10,3,4,80,8066388,8068628,8066388,78.7733,6144000,60.0000,54.0000
"测试3: 大文件广播(1MB) [n=10,t=3]",1048576,10,3,4,80,59324958,59327198,59324958,56.5766,62914560,60.0000,54.0000
"测试4: 文本文件广播 [n=10,t=3]",383893,10,3,4,80,23325819,23328129,23325819,60.7612,23033730,60.0003,54.0002
"测试5: 单节点故障容错(1MB) [n=10,t=3]",1048576,10,3,4,50,47007175,47068300,47007175,44.8295,62914560,60.0000,54.0000
"测试6: 3节点故障容错(100KB) [n=10,t=3,极限]",102400,10,3,4,30,3030168,3054160,3030168,29.5914,6144000,60.0000,54.0000
"测试7: 超大文件分块广播(20MB) [n=10,t=3]",20971520,10,3,4,80,1137195147,1137197317,1137195147,54.2256,1258291200,60.0000,54.0000
"测试8: 超大文件分块广播(50MB) [n=10,t=3]",52428800,10,3,4,85,2838825881,2838828191,2838825881,54.1463,3145728000,60.0000,54.0000
"测试9: 恶意节点-篡改分片(100KB) [n=10,t=3]",102400,10,3,4,80,8075430,8077600,8075430,78.8616,6144000,60.0000,54.0000
"测试10: 恶意节点-伪造哈希(100KB) [n=10,t=3]",102400,10,3,4,80,8072130,8074440,8072130,78.8293,6144000,60.0000,54.0000
"测试11: 恶意节点-选择性沉默(100KB) [n=10,t=3]",102400,10,3,4,80,7599246,7601416,7599246,74.2113,6144000,60.0000,54.0000
"测试12: 3个混合恶意节点(100KB) [n=10,t=3,BFT极限]",102400,10,3,4,80,7674762,7676932,7674762,74.9488,6144000,60.0000,54.0000
