测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(ms),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比,RS编码耗时(ms),RS解码耗时(ms),SHA256哈希耗时(ms),哈希验证耗时(ms),编解码总耗时(ms),吞吐量(MB/s)
"测试1: 小文件广播(1KB) [n=10,t=3]",1024,10,3,4,2000,2617560,2619730,2617560,2556.2109,61440,60.0000,54.0000,0.032,.091,0.003,.002,.123,.0004
"测试2: 中等文件广播(100KB) [n=10,t=3]",102400,10,3,4,2001,8106252,8108492,8106252,79.1626,6144000,60.0000,54.0000,0.691,.421,0.089,.048,1.112,.0487
"测试3: 大文件广播(1MB) [n=10,t=3]",1048576,10,3,4,2044,59355054,59357294,59355054,56.6053,62914560,60.0000,54.0000,5.006,6.246,0.496,.510,11.252,.4892
"测试4: 文本文件广播 [n=10,t=3]",383893,10,3,4,2000,23381193,23383363,23381193,60.9054,23033730,60.0003,54.0002,1.793,1.325,0.162,.172,3.118,.1830
"测试5: 单节点故障容错(1MB) [n=10,t=3]",1048576,10,3,4,2002,47097158,47165380,47097158,44.9153,62914560,60.0000,54.0000,4.726,4.997,0.454,.459,9.723,.4995
"测试6: 3节点故障容错(100KB) [n=10,t=3,极限]",102400,10,3,4,1999,3021415,3035879,3021415,29.5060,6144000,60.0000,54.0000,0.469,.299,0.044,.043,.768,.0488
"测试7: 超大文件分块广播(20MB) [n=10,t=3]",20971520,10,3,4,2590,1137252343,1137254793,1137252343,54.2284,1258291200,60.0000,54.0000,110.637,110.205,10.612,9.425,220.842,7.7220
"测试8: 超大文件分块广播(50MB) [n=10,t=3]",52428800,10,3,4,5159,2838852810,2838854980,2838852810,54.1468,3145728000,60.0000,54.0000,348.818,290.828,26.596,24.149,639.646,9.6918
"测试9: 恶意节点-篡改分片(100KB) [n=10,t=3]",102400,10,3,4,1992,8126976,8129076,8126976,79.3650,6144000,60.0000,54.0000,1.034,.356,0.158,.049,1.390,.0489
"测试10: 恶意节点-伪造哈希(100KB) [n=10,t=3]",102400,10,3,4,2002,8128890,8131060,8128890,79.3836,6144000,60.0000,54.0000,0.468,.468,0.044,.055,.936,.0487
"测试11: 恶意节点-选择性沉默(100KB) [n=10,t=3]",102400,10,3,4,2001,7670724,7672964,7670724,74.9094,6144000,60.0000,54.0000,0.831,.347,0.073,.046,1.178,.0487
"测试12: 3个混合恶意节点(100KB) [n=10,t=3,BFT极限]",102400,10,3,4,1999,7662012,7664252,7662012,74.8243,6144000,60.0000,54.0000,0.797,.512,0.080,.046,1.309,.0488
"测试13: 3个混合恶意节点(50MB) [n=10,t=3,BFT极限]",52428800,10,3,4,4679,2602294077,2602296387,2602294077,49.6348,3145728000,60.0000,54.0000,314.703,331.155,26.116,24.858,645.858,10.6860
