测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(ms),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比
"测试1: 小文件广播(1KB) [n=4,t=1]",1024,4,1,2,1998,232695,233605,232695,227.2412,20480,20.0000,15.0000
"测试2: 中等文件广播(100KB) [n=4,t=1]",102400,4,1,2,1999,1765215,1766125,1765215,17.2384,2048000,20.0000,15.0000
"测试3: 大文件广播(1MB) [n=4,t=1]",1048576,4,1,2,2001,15979503,15980413,15979503,15.2392,20971520,20.0000,15.0000
"测试4: 文本文件广播 [n=4,t=1]",383893,4,1,2,1999,5986764,5987604,5986764,15.5948,7677876,20.0000,15.0000
"测试5: 单节点故障容错(1MB) [n=4,t=1]",1048576,4,1,2,1999,8450026,8452310,8450026,8.0585,20971520,20.0000,15.0000
"测试6: 1节点故障容错(100KB) [n=4,t=1,极限]",102400,4,1,2,2001,862032,864322,862032,8.4182,2048000,20.0000,15.0000
"测试7: 超大文件分块广播(20MB) [n=4,t=1]",20971520,4,1,2,2097,315276846,315277756,315276846,15.0335,419430400,20.0000,15.0000
"测试8: 超大文件分块广播(50MB) [n=4,t=1]",52428800,4,1,2,2629,787797471,787798381,787797471,15.0260,1048576000,20.0000,15.0000
"测试9: 恶意节点-篡改分片(100KB) [n=4,t=1]",102400,4,1,2,2000,1763565,1764475,1763565,17.2223,2048000,20.0000,15.0000
"测试10: 恶意节点-伪造哈希(100KB) [n=4,t=1]",102400,4,1,2,1999,1765215,1766195,1765215,17.2384,2048000,20.0000,15.0000
"测试11: 恶意节点-选择性沉默(100KB) [n=4,t=1]",102400,4,1,2,2000,1454097,1455007,1454097,14.2001,2048000,20.0000,15.0000
"测试12: 1个混合恶意节点(100KB) [n=4,t=1,BFT极限]",102400,4,1,2,2000,1754853,1755833,1754853,17.1372,2048000,20.0000,15.0000
