测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(s),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比
"测试1: 小文件广播(1KB) [n=7,t=2]",1024,7,2,3,75,1028682,1030292,1028682,1004.5722,40684,39.7304,34.0546
"测试2: 中等文件广播(100KB) [n=7,t=2]",102400,7,2,3,75,4468866,4470406,4468866,43.6412,4061932,39.6673,34.0005
"测试3: 大文件广播(1MB) [n=7,t=2]",1048576,7,2,3,70,36665964,36667504,36665964,34.9673,41593580,39.6667,34.0000
"测试4: 文本文件广播 [n=7,t=2]",383893,7,2,3,75,14060682,14062362,14060682,36.6265,15227821,39.6668,34.0001
"测试5: 单节点故障容错(1MB) [n=7,t=2]",1048576,7,2,3,40,26543899,26568253,26543899,25.3142,41593580,39.6667,34.0000
"测试6: 2节点故障容错(100KB) [n=7,t=2,极限]",102400,7,2,3,30,1905714,1913714,1905714,18.6104,4061932,39.6673,34.0005
"测试7: 超大文件分块广播(20MB) [n=7,t=2]",20971520,7,2,3,76,715254698,715256448,715254698,34.1060,831870326,39.6666,33.9999
"测试8: 超大文件分块广播(50MB) [n=7,t=2]",52428800,7,2,3,75,1786442636,1786444246,1786442636,34.0736,2079675766,39.6666,33.9999
"测试9: 恶意节点-篡改分片(100KB) [n=7,t=2]",102400,7,2,3,70,4422588,4424198,4422588,43.1893,4061932,39.6673,34.0005
"测试10: 恶意节点-伪造哈希(100KB) [n=7,t=2]",102400,7,2,3,75,4460352,4461962,4460352,43.5581,4061932,39.6673,34.0005
"测试11: 恶意节点-选择性沉默(100KB) [n=7,t=2]",102400,7,2,3,76,4044888,4046638,4044888,39.5008,4061932,39.6673,34.0005
"测试12: 2个混合恶意节点(100KB) [n=7,t=2,BFT极限]",102400,7,2,3,75,4473156,4474836,4473156,43.6831,4061932,39.6673,34.0005
