测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(ms),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比,RS编码耗时(ms),RS解码耗时(ms),SHA256哈希耗时(ms),哈希验证耗时(ms),编解码总耗时(ms),吞吐量(MB/s)
"测试1: 小文件广播(1KB) [n=10,t=3]",1024,10,3,4,2058,2604888,2607198,2604888,2543.8359,61440,60.0000,54.0000,0.054,0.095,0.003,0.002,0.149,0.0004
"测试2: 中等文件广播(100KB) [n=10,t=3]",102400,10,3,4,2003,8141364,8143604,8141364,79.5055,6144000,60.0000,54.0000,1.049,0.443,0.085,0.046,1.492,0.0487
"测试3: 大文件广播(1MB) [n=10,t=3]",1048576,10,3,4,2016,59384160,59386470,59384160,56.6331,62914560,60.0000,54.0000,5.890,7.101,0.460,0.489,12.991,0.4960
"测试4: 文本文件广播 [n=10,t=3]",383893,10,3,4,2017,23458237,23460407,23458237,61.1061,23033730,60.0003,54.0002,1.460,2.666,0.162,0.174,4.126,0.1815
"测试5: 单节点故障容错(1MB) [n=10,t=3]",1048576,10,3,4,2000,47052970,47114476,47052970,44.8732,62914560,60.0000,54.0000,4.873,5.396,0.512,0.448,10.269,0.5000
"测试6: 3节点故障容错(100KB) [n=10,t=3,极限]",102400,10,3,4,2000,3035490,3060666,3035490,29.6434,6144000,60.0000,54.0000,0.400,0.333,0.080,0.043,0.733,0.0488
"测试7: 超大文件分块广播(20MB) [n=10,t=3]",20971520,10,3,4,2640,1137237567,1137239667,1137237567,54.2277,1258291200,60.0000,54.0000,126.934,123.341,12.239,9.247,250.275,7.5757
"测试8: 超大文件分块广播(50MB) [n=10,t=3]",52428800,10,3,4,5065,2838895084,2838897184,2838895084,54.1476,3145728000,60.0000,54.0000,374.616,312.505,24.878,24.851,687.121,9.8716
"测试9: 恶意节点-篡改分片(100KB) [n=10,t=3]",102400,10,3,4,2001,8114964,8117064,8114964,79.2476,6144000,60.0000,54.0000,0.411,0.564,0.044,0.049,0.975,0.0487
"测试10: 恶意节点-伪造哈希(100KB) [n=10,t=3]",102400,10,3,4,2002,8135094,8137264,8135094,79.4442,6144000,60.0000,54.0000,1.654,0.727,0.089,0.047,2.381,0.0487
"测试11: 恶意节点-选择性沉默(100KB) [n=10,t=3]",102400,10,3,4,2000,7651056,7653366,7651056,74.7173,6144000,60.0000,54.0000,0.680,0.396,0.077,0.045,1.076,0.0488
"测试12: 3个混合恶意节点(100KB) [n=10,t=3,BFT极限]",102400,10,3,4,1999,7651782,7654232,7651782,74.7244,6144000,60.0000,54.0000,1.040,38.306,0.048,0.044,39.346,0.0488
"测试13: 3个混合恶意节点(50MB) [n=10,t=3,BFT极限]",52428800,10,3,4,26655,2602924579,2602926959,2602924579,49.6468,3145728000,60.0000,54.0000,292.175,19825.109,27.949,24.263,20117.284,1.8758
